,HashtagPair,Count,Type,UserCount
0,#cpac2020 #trumpvirus,522,political,2
1,#trumpvirus #trumpviruscoverup,414,political,61
2,#news #politics,359,political,19
3,#news #usa,339,other,23
4,#politics #world,329,political,3
5,#cpac2020 #trumpviruscoverup,329,political,1
6,#politics #usa,325,political,11
7,#usa #world,325,other,11
8,#news #world,321,other,6
9,#pencedemic #trumpvirus,316,political,32
10,#kag #maga,253,political,160
11,#cpac2020 #pencedemic,252,political,1
12,#dumptrump2020 #trumpvirus,247,political,5
13,#china #wuhan,238,other,138
14,#dumptrump2020 #trumpviruscoverup,221,political,3
15,#cdc #who,218,other,128
16,#aag #aag2020,211,other,1
17,#cpac2020 #dumptrump2020,209,political,1
18,#nevertrump #trumpvirus,209,political,2
19,#cpac2020 #nevertrump,208,political,1
