,HashtagPair,Count,Type,UserCount
0,#kag #maga,220,political,160
1,#china #wuhan,211,other,138
2,#cdc #who,201,other,128
3,#socialdistancing #stayhome,175,other,171
4,#flattenthecurve #socialdistancing,171,other,164
5,#investing #stocks,168,other,48
6,#stayhome #staysafe,155,other,150
7,#health #virus,154,other,98
8,#china #usa,146,other,111
9,#stocks #trading,142,other,31
10,#china #iran,139,other,117
11,#cdc #trump,138,other,95
12,#quarantine #quarantinelife,138,other,134
13,#quarantine #socialdistancing,132,other,131
14,#investing #trading,131,other,26
15,#maga #trump,130,political,81
16,#china #italy,130,other,112
17,#maga #qanon,118,political,47
18,#gop #trump,114,political,55
19,#pence #trump,112,political,81
