clusterId,topicName,topicColor,hashtags,num
0,Stay Home,#984ea3,stayhome quarantinelife stayathome flattenthecurve washyourhands quarantine coronapocalypse lockdown staysafe coronapocolypse quarentinelife coronalockdown staysafestayhome socialdistancingnow stayhomechallenge stayhomesavelives quarantineandchill staythefhome stayhealthy coronacrisis shelterinplace repost workingfromhome socialdistanacing covid19ireland selfquarantine selfisolation stopthespread quaratinelife community canceleverything socialdistance stpatricksday stayathomeandstaysafe tiktok ireland besafe family help nationalemergency corvid19 highriskcovid19 saferathome home retweet covidactnow staythefuckhome coronaupdate blog cornavirusoutbreak isolation covidiots dontpanic stateofemergency homeschooling washyourdamnhands covid‹Ä_19uk inthistogether wtf bekind coronabeer stayathomechallenge quarantined flatteningthecurve beprepared panicshopping stayathomeorder distancelearning cnntownhall cov€±d19 quarantineactivities psa xijinping commonsense viral codvid19 stayhomestaysafe beer staywoke selfisolating martiallaw spring donttouchyourface shelteringinplace nationaldoctorsday wine covididiots quaratineandchill physicaldistancing alonetogether dublin zoom covid19on staystrong schoolclosure fun support coronavirÌ_s thelockdown californialockdown shutitdown gratitude delivery supportlocal blessed stayinformed momlife lockdownnow nycshutdown friends covid19out savelives flattenthecuve newnormal stayconnected supportsmallbusiness dontbeaspreader shutdown firstdayofspring coronapandemic staypositive positive rona tigerking selfisolate weareinthistogether onlyfans kindness stayathomesavelives slowthespread freechina coronavÌ_rus bewell bored startrek fightcovid19 shoplocal staycalm cabinfever besmart weekend homeoffice quarantinecats stimuluspackage2020 together easter protectyourself relax coronamemes quarentine coronavillains covididiot immunocompromised compassion togetherathome restaurant shutdownnyc donate doyourpart asthma familytime keepcalm dogsofinstagram coronavirÌ_sÌ_ lovethyneighbor wegotthis soap thankful onlineclasses tgif canceleverythingnow coronauk californiashutdown wereinthistogether essentialworkers whistleblower happybirthday retweetplease generalstrike masks4all craftbeer blogging staywell sale coveryourcough edmfamily marvel handwash livestream stayhomemn outdoors gross homeworkout clubquarantine swfl kashmir stayinside empathy stpatricksdayparade stpatricksday2020 coronabeervirus 21daylockdown laughteristhebestmedicine carlsbad ideas allinthistogether doctorsday workingremotely wetsuweten wereallinthistogether gaslighter quedateencasa stayhomecanada herdimmunity freshair service bayarealockdown hantavirus stay lockdownuk mom safeathome pos sendhelp urgent isolationlife shopsmall goat homedecor quarantine2020 avenatti irelandlockdown stuckathome happyhour takeout covid_19ph californiaquarantine loveoneanother washyourhandslike letsfightcovid19 21dayslockdown peternygard militarytribunals afterhours fooddelivery truecrime pandemic2020 happystpatricksday stayhometexas baby behealthy organic maralagovirus lockdown21 handmade irish coronapocalypse2020 aprilfoolsday gardening stayhome24in48 yomequedoencasa makeup demolitionman onlyfansgirl volunteer besafeoutthere coveryourmouth article harrypotter tedtalk fyp coronausa mitigation onlineshopping sonomacounty workingfromhomelife interiordesign plankthecurve blogger whencoronavirusisover delicious blockades stimuluscheck bridgeport sflockdown bbq nhsheroes savealife filmtwitter learn selfie socialresponsibility soapandwater newyorklockdown homesweethome cork myquarantineinsixwords polishroyaltyandthegoat happyfriday yummy quarantinethoughts boredathome meditate kidsathome houseparty gift goodvibes propertymanagement website gamersvscovid19 bacon shoponline skype lockdownuknow mothersday comfortfood notoiletpaper covid2019india stoptouchingyourface,29405
1,Health,#2cdec0,health healthcare wuhan publichealth who flu science 2019ncov epidemic vaccine handwashing truth media chinese telehealth facts medical wellness vaccines panic influenza nih safety ebola prevention unitedstates doctors disease nhs research fear telemedicine nurses medicine thankyou covid19china safetyfirst convid19 hospitals social selfcare healthy life crisis preparedness cancer globalhealth coronaflu kids sick fitness hospital hygiene beijing fauci epidemiology school wisdom factsnotfear healthtech fluseason infectiousdiseases homeschool pharma people journalism scicomm perspective digitalhealth healthcareheroes pandemics bioweapon freedom spanishflu healthcareworkers dataviz medicalsupplies sales immunesystem immigration infection billgates women catholic diabetes hhs germs safe h1n1 vegan local viruses trends doctor immunity democracy advice humanrights medicare coronoavirus censorship infectioncontrol nursing tips pandemicpreparedness math medicaid exercise publicsafety swineflu cure worldwide inspiration pennsylvania today healing workers games nutrition healthcareforall illness workout information wellnesswednesday nurse symptoms running stem gis grateful mers vitaminc flushot patients pharmacy gym shanghai healthyliving doomsday dentistry statistics wellbeing plague cdwsocial newhampshire socialsecurity corononavirus catholictwitter hubei southcarolina wuhanlockdown healthylifestyle lifestyle disinfect handhygiene infected awareness nursetwitter whyiwasquarantined socialselling allergies prepare drug infectionprevention clean goals healthinsurance anthonyfauci alerts cold wuhanoutbreak public immune healthtips morningrushatl lacounty opinion antivirals osha obesity nursinghomes care international belikeadoctor hands event wash virology drugs policy courage fb asiapacific coronarvirus fightvirus physicians training niaid sanitize opioid march birmingham zika biowarfare wccb cough howto fever healthequity sleep digitalselling treatment healthed khou epidemics sickpay emgtwitter wujan infographic maskup airborne nurselife mindset event201 goodhealth sanitation pharmacists moms biology 3m mhealth medicaldoctor vaccination healamerica diet hustle kprc2 pasadena disaster patientsafety drone libertarian cms fuckchina doomsdaypreppers oibr dreams action measles safehands clinicaltrials sdoh birdflu prevent patient getitdone indiapostusa longbeach diseasesandconditions agenda21 plan infections globalisation plantbased datavisualization crime smem hardwork weightloss astrology naturalhealth prek run liwenliang fitnessmotivation flexibleworking employeebenefits healthyfood literacy worldobesityday arcgis fightflu mortality holistic lifelessons uninsured diseaseoutbreaks rn healthyhabits belief study bodybuilding drc er inspire vitamins immigrants homelandsecurity heartdisease nymc depopulation perseverance esri primarycare body virtualcare sarcov2 fit familytravel blood snrtg responsibility geography publichealthemergency govegan news12 nymcshsp governance fluvaccine informedconsent robot corporations fitfam story batflu clinicaltrial liberty wuhanchina dental disinfectants healthpolicy festival learntherisk evacuations 21stc gdpuk frontline germfree naturalhealing deathrate eldercare joeharaszti sciencetwitter sickness runchat personalgrowth bizfinance selflove phep salestips microbiology makeithappen colds dads theflu distancing beready bat info healthgis malaria transgender publicpolicy foundr employeeexperience federalgovernment congo,23714
2,Anti Trump,#377eb8,trumpvirus trumpviruscoverup covid19us trumpliesaboutcoronavirus covid19usa trumppandemic cpac2020 pencedemic votebluenomatterwho trumpslump trumpisanidiot dumptrump2020 resist fbr trumpnotfitforoffice trumpcrash nevertrump trumpdemic trumpliedpeopledied marketcrash impotus voteblue liarinchief moscowmitch trumpplague trumpliespeopledie dumptrump covidiot voteblue2020 trumpistheworstpresidentever votebluetosaveamerica trumpliesamericansdie worstpresidentinhistory cpac testvirusnow trumplies resistance trumprecession idiotinchief pencepandemic gopcorruptionovercountry trumppressconference 25thamendmentnow cpacvirus onevoice1 votebluenomatterwho2020 gopbetrayedamerica worstpresidentever bebest magats caronavirusoutbreak trumptheworstpresidentever theresistance notmypresident traitortrump votebluetoendthisnightmare unfittobepresident moronavirus trumpcrimefamily bluewave2020 pandumbic trumpisadisgrace removetrump lyingtrump trumpfail wherearethetestkits moroninchief unfitforoffice ventilators stablegenius endthefed donthecon trumppressconf testkits fucktrump coverup notmycoronavirusday fakepresident strongertogether corruptionvirus donothingtrump ettd 25thamendment sad apocalypse trumpvirus2020 joebiden2020 trumpcoronavirus impotus45 trumpisunfit incompetence trumpcoronadisaster trumpspeech removetrumpnow bettertogether trumpgenocide trumplieseverytimehespeaks trumpaddress covid19italy mepolitics unfit ratecuts bidenharris2020 blackmonday opensource impeachtrumpagain resisters trumpmadness votehimout tedcruz trumpskatrina votethemout trumpmeltdown diaperdon nerotrump racistinchief trumpisamoron trumpisavirus donttestdonttell impeachedforlife vt maine stupidity wtpteam resignnow cdcstopthecoverup grifterinchief trumpisacorruptliar americanvirus trumpliesabouteverything democrathoax trumpisanationalsecuritythreat impeach trumpresign stoptrump cdcwonttestme goptraitors trumpcrimesyndicate dowfutures impeachedforever inept trumpliesmatter neoconservativecommunist bluewave countryoverparty 911insidejob cpacpatientzero foxnewslies idiocracy trumpcoronacoverup wheresmitch cdcfail aipac bluenomatterwho declassify unprepared trumpresignnow votethemallout illegitimatepresident trumpisacoronavirusdenier trumpslump2020 votetrumpout trumpkills presidementia trumpdementia goplies pandemicpence idpol trumpmustgo typhoidtrump impeachbarr penceisantiscience uniteblue bidenbeatstrump iq45 jaredkushner sociopath legalizeit resisttrump walkingdead respirators trumppandemicfailure fbrparty trumpfailure ditchmitch beavoter oilpricewar gopvotingblue votetrumpout2020 wwechamber penceunqualified novelcoronavirus2019 trumpisthevirus cpaccoronavirus trumpisarussianasset everythingtrumptouchesdies impeachmenttrial protest mentalillness bluetsunami2020 demforce gopfail trumpisa_danger_toamerica trumpspandemic trumpviruscatastrophe overthrowstatusquo gopvirus ventilator trumpvirustestingfailure 2partiesgottago trumpisincompetent il14 bebestmyass covidtest wherearethecovid19tests trumpswamp,20502
3,Pro Trump,#e41a1c,maga politics trump2020 kag gop democrats qanon potus donaldtrump cnn america hoax kag2020 pence election2020 biden wwg1wga msnbc maga2020 tcot berniesanders whitehouse americafirst government congress msm biden2020 joebiden republicans factsmatter americans mikepence bernie ohio voteforbernie fakenewsmedia tds obama wakeupamerica deepstate fail morningjoe democrat trump2020landslide walkaway prepper incompetent dems democraticprimary bigpharma maddow trumpadministration 2020election liberalismisamentaldisorder history military winning trumpderangementsyndrome kag2020landslidevictory presidenttrump republican q potus45 socialism wakeup wethepeople truthmatters political amjoy bernieforpresident enemyofthepeople president realdonaldtrump nytimes hysteria liar democratsaredestroyingamerica minimike lies 2a ccot gopcoverup politicalviews sciencematters indiana fox sanders pelosi buildthewall senate draintheswamp kentucky cult45 npr moron fbi politicalparties democratshateamerica inners law dnc impeachment covid19ohioready patriots voteredtosaveamerica prolife deplorable nbc elections2020 hannity nancypelosi teaparty derangeddonald gaslighting corruption cbs liberals greatawakening trumppence2020 foxandfriends ad tlot communism nwo boxing scientific fl trump2020landslidevictory election thegreatawakening tucker theview walkawayfromdemocrats fubar trump2020nowmorethanever dropoutbernie maga2020landslide cleveland abortion mikebloomberg berniebros ignorant qarmy studentdebt socialismkills democrats2020 democratic goodbyegop abc wearethenewsnow narcissist thesepeoplearesick nationaldayofprayer woke assclown kaga2020 trumptrain hunterbiden aoc morons patriot army hillaryclinton progressive conservative 4moreyears navy legal clintonbodycount socialist barackobama nra cia reuters votedemsout democratstheenemywithin trumpsupporters christians spygate pjnet grifter neverbernie liberal meth demexit democratsareadisgrace vp deadlinewh keepamericagreat tombrady schumer evangelicals wapo lastword qanons guns liberalismisamentaldisease adrenochrome russian dod usmilitary guncontrol democraticparty burisma veteran trumptrain2020 bidenforpresident2020 darktolight thebestisyettocome putinspuppets mainstreammedia ohiocoronavirus bestpresidentever kaga saveamerica pompeo soros magat womenshealth orangemanbad washingtonpost indianapolis qanon2020 noballsdonnie azar gopcomplicittraitors sheeple trumpflu kimjongun liberalhypocrisy senators politicians openborders thestorm pizzagate trumpocalypse godwins velshi debate tuckercarlsontonight trusttheplan deranged 1a rally votered wwg1gwa sanders2020 sleepyjoe communists chuckschumer independent mediabias justice wwwethepeople myrtlebeach indy stopthecoup journalismmatters topstories wwg1wgaworldwide kag2020landslide legacy trumpworldpeace tgdn sponsored blexit johndaly clinton taskforce fourmoreyears,19177
4,Economy,#4daf4a,business economy stocks stockmarket investing bitcoin fed covid19uk markets trading foxbusiness money gold stockmarketcrash2020 federalreserve crypto oil wallstreet retail btc dowjones recession finance market biotech blockchain oott interestrates cnbc bloomberg fintech emergency cryptocurrency trade brexit global investment investors entrepreneur dow digital stockmarketcrash nasdaq silver success stock ratecut nyse ecommerce energy bonds opec motivation startup coronovirusuk forex remdesivir covid_2019 online fintwit economics economic webinar supplychains sp500 hydroxychloroquine pandemia chloroquine rates banking culture futures oilprice investments blackswan capitalism strategy unemployment xrp stockstowatch financial mining stimulus pdac2020 djia ftse g7 pennystocks commodities africabiz retirement volatility es_f investor options stockmarkets tariffs globaleconomy software pharmaceutical interestrate daytrading 401k spx stimuluspackage hedgefund equity future invest tradewar tsx az metals ausbiz centralbanks wealth innatpdac ww3 fedcut banks axentstone coronavirius payments gdp entrepreneurship oilandgas infrastructure fomc axentstonec cryptocurrencies crudeoil updates nascar entrepreneurs ecb eth robinhood equities videoconferencing exports argusoil credit smartphone wsj production madmoney tradingpsychology bearmarket spy analysis luxury growth finserv supply dubai debt ltc dating followthemoney studentloans middlemarket lng rate pharmaceuticals boris retirementplanning wti tradingsignals shares bankofcanada usd es retailers bailout demand consumers recession2020 covid2020 copper gas dollar powell coinbase correction xrpcommunity income financialplanning wall thefed stockstotrade personalfinance tinder crash2020 bank financialcrisis etf euro treasury bch bullion forextrading border nuclear tradersexpo goldnomics currency price wealthmanagement robinhoodapp buy indices export ethereum billionaire risks lifesciences preciousmetals biotechnology crude bullmarket tradewiser top interest argusblog charts dax30 qqq ipo goldcoreyoutube financialadvisor dna bitcoinprice businesstips monetarypolicy geoengineering qe financialfreedom take electricvehicles oilwar prepyourhealth asx elliottwave rba firemovement ftse100 slowdown bottomfishing shale chase oprah,15802
5,International,#6b8e23,iran italy us world canada uk southkorea japan india australia update israel russia france hongkong africa live europe germany death singapore eu american testing spain mexico korea olympics borisjohnson covid19italia taiwan asia deaths london northkorea vietnam italycoronavirus turkey tokyo2020 bbc ukraine pneumonia tokyo iraq brazil tax paris pakistan irancoronavirus nigeria saudiarabia syria thailand coronoavirusoutbreak periscope egypt un milan iranian melbourne olympics2020 greece popefrancis uae putin stream vatican rip cases italian italylockdown refugees ottawa covid19fr pope middleeast louvre afghanistan ebay rome war argentina taxes kuwait ethiopia delta israeli cvid19 southafrica lebanon venice italia indonesia irs switzerland unitedkingdom malaysia covid19france england covid19korea tokyoolympics ayatollahsspreadcovid19 irancovidtruth geopolitics qatar philippines quarantines covid19mx newzealand ioc cameroon chile britain saudi vinyl cambodia norway stop irgc idlib tehran zimbabwe iranians loans modi states netherlands italystaystrong covid19iran northamerica judaism kenya mecca taliban hongkongprotests tibet confirmed austria humans algeria sanctions sweden bahrain prayforitaly colombia florence armenia gaza migrants pasta berlin ecuador french sydney somalia ò©¯±ôöô ¯¤ boc palestinians lubbock olympic collectible bjp sdny healthofficials macron palestine population ghana irancorona mek,11389
6,Chinese Virus,#ff7f00,chinesevirus wuhanvirus wuhancoronavirus chinavirus ccp ncov2019 chinaliedpeopledied kungflu chinacoronavirus wuflu novelcoronavirus chinesecoronavirus ncov ccpvirus diamondprincess ncov19 wuhancoronavius communist racist chinesewuhanvirus covid19india pittsburgh warroompandemic cov19 propaganda chinaliedandpeopledied madeinchina chinalies wuhancoronavirusoutbreak wuhancoronovirus ccpchina wuhanflu boycottchina borderobserver hypocrite wuhanpneumonia chinesevirus19 wetmarkets ncp xivirus wpxi coronarovirus quote dalailama standwithhongkong trumps preppertalk ucla wuhanvirusmadeinchina quiktake covid19filipinos chineseflu chinazi communistchina chinapneumonia anywherebutchina globalist thanks slavery prc,5716
7,Music,#bd0f3a,music love new art trending thebachelor youtube hope fashion nowplaying hawaii soundcloud hiphop free photography newmusic np instagram peace spotify share rap ufc248 artist radio follow humanity house dj tbt tv song beauty illustration trendingnow womentellall edm bts beautiful dance giveaway listen photooftheday creativity mma style ufc youtuber beats housemusic happy drawing thebachelorfinale anime birthday trend kobebryant instagood gamers subscribe happiness rock model bachelor ladygaga trap creative metal picoftheday itunes artwork rapper musician photo livemusic concert country sketch calm mood vibes cute like photographer btsarmy graphicdesign chromatica tonight iheartradio digitalart tmz musicians arts taylorswift jewelry humpday applemusic party countrymusic win kpop artists bachelorette classicrock rnb songs videos playlist newrelease painting comic singer throwbackthursday guitar good godisgood pop jazz producer newmusicfriday maui warmth rocknroll iloveme techno hiphopmusic bjj photoshoot songwriter iheartawards istayhome like4like ripkobe photos streetphotography cartoon tidal musicislife drums homework honolulu ufcbrasilia newmusic2020 models mmatwitter,5582
8,NYC,#15ed2e,nyc newyork ny boston dailyvoice newyorkcity westchester newjersey nj mta connecticut nyccoronavirus newrochelle manhattan cuomo massachusetts weather nyclockdown brooklyn communityspread nys jewish westchestercounty mbta co ct pa newyorkstate subway longisland andrewcuomo ma nypd cambridge covid19nyc statenisland hudsonvalley bronx chinatown newyorkers deblasio cambma marathon queens stockmarketupdate city ublove ctpolitics,3252
9,Panic Buying,#dbaf2a,toiletpaper panicbuying toiletpapercrisis cornoravirus toiletpaperpanic costco toiletpapergate toiletpaperapocalypse coronvirusuk covid19australia walmart costcopanicbuying water toiletpaperemergency shopping earthquake hoarding panickbuying panicbuy daylightsavings panicbuyers tp idiots stockpiling riggedprimary toiletpaperwars riggeddnc madness daylightsavingstime hoarders mafs coles bidet fullmoon toiletpapershortage woolworths thebatman nct127_kickit,3185
