state,date,sentiment,total,row,col,pval
NY,1.5,-0.124929839465428,98172,3,11,0.0
NY,3.5,-0.060137755413878495,189790,3,11,0.0
NY,5.5,-0.0911182384903753,47482,3,11,1.301e-238
NY,7.5,-0.11209706438168217,38629,3,11,5.895e-296
NY,9.5,-0.08605748353874725,23692,3,11,5.311e-122
NY,11.5,-0.04355276711091033,22135,3,11,1.714e-23
NY,13.5,-0.04471313479932946,20282,3,11,3.071e-30
NY,15.5,-0.016698756811989103,17616,3,11,0.001886
NY,17.5,-0.057970158976810904,16732,3,11,1.925e-33
NY,19.5,-0.048337867785487605,18591,3,11,2.559e-25
NY,21.5,-0.024900847978370406,16274,3,11,1.803e-05
NY,23.5,-0.03134425150049531,17161,3,11,1.695e-13
NY,25.5,-0.01830036172497598,17693,3,11,3.36e-06
NY,27.5,-0.03494626282087607,17647,3,11,1.515e-12
NY,29.5,-0.06299795929502919,18327,3,11,9.804e-42
NY,31.0,-0.05000623220821472,9836,3,11,5.477e-15
ALL,1.5,-0.13768878370431284,1537192,0,0,0.0
ALL,3.5,-0.068507915672597,2640660,0,0,0.0
ALL,5.5,-0.0867773876543786,685652,0,0,0.0
ALL,7.5,-0.12093583174243051,542145,0,0,0.0
ALL,9.5,-0.08992171449844931,333077,0,0,0.0
ALL,11.5,-0.04620519808336728,319310,0,0,0.0
ALL,13.5,-0.04764676989687782,308566,0,0,0.0
ALL,15.5,-0.02044792389127553,251167,0,0,4.204e-69
ALL,17.5,-0.052284443509446825,249555,0,0,0.0
ALL,19.5,-0.05151059260080148,279733,0,0,0.0
ALL,21.5,-0.02612180859756379,238649,0,0,2.802e-95
ALL,23.5,-0.026362225135546938,258582,0,0,6.24e-116
ALL,25.5,-0.014476333208827344,259693,0,0,2.039e-36
ALL,27.5,-0.0250568264605075,260252,0,0,1.778e-95
ALL,29.5,-0.0608839230774989,267178,0,0,0.0
ALL,31.0,-0.05359489678453639,141597,0,0,1.943e-221
TX,1.5,-0.13593940870075563,136310,7,5,0.0
TX,3.5,-0.07146324034919602,227494,7,5,0.0
TX,5.5,-0.07437498722447451,58706,7,5,7.681e-198
TX,7.5,-0.12209598535971633,43715,7,5,0.0
TX,9.5,-0.09258504892943858,27182,7,5,1.087e-137
TX,11.5,-0.057627690427429476,30274,7,5,3.404e-64
TX,13.5,-0.04789270770691565,31595,7,5,1.003e-45
TX,15.5,-0.03279496665184527,22490,7,5,1.07e-16
TX,17.5,-0.06970035113506451,24492,7,5,2.63e-71
TX,19.5,-0.056376146891394134,26877,7,5,1.19e-57
TX,21.5,-0.028022591625477943,21446,7,5,6.802e-12
TX,23.5,-0.030739788806758185,23675,7,5,2.766e-13
TX,25.5,-0.01391308427920279,22378,7,5,2.907e-06
TX,27.5,-0.02860019179634715,22941,7,5,1.903e-11
TX,29.5,-0.07344573580384271,23369,7,5,3.207e-80
TX,31.0,-0.055134131035059826,11951,7,5,7.751e-25
NC,1.5,-0.14816879323597235,36428,6,10,0.0
NC,3.5,-0.04009472897994025,65604,6,10,1.666e-64
NC,5.5,-0.08367371039539145,15276,6,10,2.17e-63
NC,7.5,-0.1332965899330012,11642,6,10,4.728e-123
NC,9.5,-0.09035813120176406,7256,6,10,6.14e-44
NC,11.5,-0.04959866239375784,7177,6,10,6.847e-13
NC,13.5,-0.04583929048537925,6737,6,10,4.786e-10
NC,15.5,-0.026048299065420565,5350,6,10,0.0003826
NC,17.5,-0.041647836363636365,5500,6,10,1.476e-07
NC,19.5,-0.037619587466540705,6351,6,10,2.177e-08
NC,21.5,-0.023324653045489595,5188,6,10,0.01603
NC,23.5,-0.02939104298681281,5839,6,10,0.0003601
NC,25.5,-0.015523444308872232,5737,6,10,0.05087
NC,27.5,-0.03489733733027685,5671,6,10,1.321e-05
NC,29.5,-0.05960511730703843,5882,6,10,2.524e-13
NC,31.0,-0.049706427648578806,3096,6,10,2.623e-05
FL,1.5,-0.1456974922463447,112850,8,9,0.0
FL,3.5,-0.0718266588208338,192034,8,9,0.0
FL,5.5,-0.09430542846064367,46422,8,9,3.058e-241
FL,7.5,-0.12077414943660433,36564,8,9,0.0
FL,9.5,-0.10778873835351307,22217,8,9,2.988e-157
FL,11.5,-0.04737888029573423,20559,8,9,1.006e-31
FL,13.5,-0.05711905379131561,20059,8,9,1.02e-42
FL,15.5,-0.034549189425115354,16038,8,9,7.023e-13
FL,17.5,-0.058754869717671236,16541,8,9,1.415e-39
FL,19.5,-0.06852620932277924,18192,8,9,1.285e-48
FL,21.5,-0.04798908649468893,16475,8,9,1.01e-22
FL,23.5,-0.04041318316944889,17492,8,9,3.138e-21
FL,25.5,-0.028614001248085323,17627,8,9,2.046e-10
FL,27.5,-0.03737837762393926,17912,8,9,8.638e-15
FL,29.5,-0.06444620588872049,18476,8,9,6.896e-46
FL,31.0,-0.06379676894940052,9842,8,9,4.688e-24
CA,1.5,-0.13805312509057888,207002,5,2,0.0
CA,3.5,-0.07513381863701464,354692,5,2,0.0
CA,5.5,-0.10044837213758745,104370,5,2,0.0
CA,7.5,-0.12630186451283953,86296,5,2,0.0
CA,9.5,-0.08500220434402221,52578,5,2,4.853e-237
CA,11.5,-0.045947482467890634,50764,5,2,1.36e-68
CA,13.5,-0.03946667382016115,51257,5,2,1.338e-52
CA,15.5,-0.011871547151861101,42045,5,2,0.0002408
CA,17.5,-0.045175840684566024,41603,5,2,4.784e-48
CA,19.5,-0.04466678787091747,46203,5,2,7.937e-52
CA,21.5,-0.018702494010019603,36728,5,2,7.571e-12
CA,23.5,-0.0226919094279661,37760,5,2,2.621e-12
CA,25.5,-0.00641768460871621,38067,5,2,0.0543
