name,color,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Stay Home,#984ea3,7,6,12,15,17,14,12,10,7,5,49,4,4,6,49,4,49,0,49,0,0,49,2,1,3,4,2,49,2,49,4
Health,#2cdec0,0,2,3,1,2,2,2,2,3,3,2,5,2,0,0,0,23,5,4,14,3,1,3,5,4,2,3,0,24,3,3
Anti Trump,#377eb8,27,24,25,19,21,26,8,20,4,23,24,23,23,9,25,17,22,24,23,16,23,23,23,6,5,5,7,23,23,23,23
Pro Trump,#e41a1c,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,1,3,1,2,1,0,0,0,2,3,1,2,0,0,0
Economy,#4daf4a,4,4,1,3,4,3,3,4,22,2,3,3,3,5,2,10,2,4,3,5,22,2,22,7,23,23,4,3,4,2,22
International,#6b8e23,2,1,4,2,1,1,1,1,1,0,1,2,1,2,4,3,0,1,0,1,2,3,1,2,1,0,0,22,1,1,1
Chinese Virus,#ff7f00,14,23,24,12,25,9,23,22,18,22,23,22,22,22,24,25,21,23,22,22,4,22,21,23,22,22,23,21,22,22,21
Music,#bd0f3a,13,22,23,16,10,23,7,8,17,6,22,21,21,17,23,6,6,22,21,8,21,21,20,22,21,21,22,20,5,5,20
NYC,#15ed2e,25,8,22,13,27,6,18,26,5,8,21,20,20,12,11,11,20,21,20,17,20,20,19,21,20,20,21,19,21,21,19
Panic Buying,#dbaf2a,24,21,21,37,28,22,22,6,16,21,20,19,19,23,7,12,19,20,19,23,19,19,18,20,19,19,20,18,20,20,18
Supertuesday,#6115ed,15,20,5,10,29,15,20,25,15,16,19,18,18,24,22,8,15,19,18,24,15,18,17,19,18,18,19,14,19,15,17
Travel,#6b8e23,22,19,19,17,15,27,25,7,11,19,4,15,15,20,6,26,17,16,15,20,17,14,14,15,15,15,15,16,15,18,14
