name,color,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Stay Home,#984ea3,5,6,6,5,5,5,7,6,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health,#2cdec0,1,1,0,0,0,1,1,2,3,2,0,1,3,3,1,1,1,3,3,2,2,3,3,3,1,1,1,2,2,1,1
Anti Trump,#377eb8,2,0,2,3,3,0,0,0,0,1,2,0,2,1,3,3,3,1,1,1,1,1,2,2,3,2,2,1,1,3,2
Pro Trump,#e41a1c,0,3,3,2,2,3,2,1,1,0,1,2,1,2,2,2,2,4,4,3,3,2,1,1,2,3,3,3,3,2,3
Economy,#4daf4a,3,2,1,1,1,2,5,5,2,4,4,5,4,7,5,4,6,5,5,7,6,7,7,4,4,5,5,6,7,5,5
International,#6b8e23,4,4,4,4,4,4,3,3,4,3,5,6,5,4,4,5,7,6,6,6,7,6,5,6,6,7,6,5,5,6,7
Chinese Virus,#ff7f00,6,11,9,8,8,10,12,12,6,6,9,8,7,8,11,9,4,2,2,4,4,4,6,7,7,4,7,7,6,10,6
Music,#bd0f3a,7,9,8,7,6,14,11,7,7,7,6,7,8,6,6,6,5,7,7,5,5,5,4,5,5,6,4,4,4,4,4
NYC,#15ed2e,15,7,10,9,10,11,13,10,12,9,10,11,14,11,8,10,13,9,9,11,8,8,8,9,10,8,8,8,8,7,9
Panic Buying,#dbaf2a,22,27,20,10,13,9,4,4,10,13,14,14,6,5,7,8,11,10,13,14,14,17,22,38,18,36,25,27,23,35,27
Supertuesday,#6115ed,24,15,5,6,22,27,32,23,34,26,32,37,36,41,39,37,35,47,41,42,45,43,41,47,46,42,44,38,34,37,43
Travel,#6b8e23,11,12,11,11,11,8,15,11,13,10,11,9,15,16,15,15,15,13,17,19,19,18,20,31,20,20,15,22,37,32,18
Online Learning,#12dbdb,23,23,18,18,15,17,18,15,9,8,7,10,9,10,9,12,8,8,8,9,10,11,9,10,8,12,9,11,20,13,14
Canada,#d314f5,13,22,17,20,21,16,14,16,11,21,18,12,12,9,10,7,9,11,10,10,9,10,11,8,9,9,16,9,14,15,8
SXSW,#ffd700,17,21,7,14,16,6,8,17,19,19,27,22,19,31,12,31,17,19,25,21,16,32,24,17,13,11,13,20,21,24,21
Seattle,#a65628,8,10,13,12,7,12,9,14,26,25,17,30,24,21,36,22,30,38,43,31,28,40,34,26,37,37,28,36,33,40,40
Wash Hands,#4682b4,16,25,16,21,17,7,6,9,16,14,19,13,17,17,20,41,20,31,38,32,21,22,36,34,14,33,33,13,31,31,38
California,#b22222,18,24,27,19,9,13,10,8,8,11,12,17,21,19,16,14,12,20,15,8,13,13,15,16,28,23,19,12,17,28,16
AI,#00bfff,10,14,12,16,14,22,17,19,17,17,13,23,16,13,13,13,21,16,18,20,23,15,28,13,27,18,12,21,12,8,15
Tech Companies,#c0c0c0,19,19,14,15,12,15,19,22,22,20,25,15,18,15,18,19,19,18,28,22,12,25,19,22,35,27,24,28,36,22,17
Florida,#ff8c00,25,8,19,24,19,24,16,13,15,15,20,18,22,18,22,17,18,14,12,23,17,12,23,15,17,14,14,15,22,17,13
