date,TX,OH,AR,VA,KY,DE,AL,DC,NY,NJ,WA,MO,OR,GA,CA,HI,IN,IL,AZ,CO,FL,MI,IA,OK,NC,PA,UT,SC,CT,WV,WI,LA,MT,MN,NV,NH,NE,TN,KS,MD,ME,MA,MS,NM,ID,VT,SD,RI,AK,WY,ND
1,63742,22042,3651,14943,5905,5651,8114,11850,49818,13875,29820,9329,14317,18024,102900,2524,27785,21110,16450,13406,53953,15699,3545,5189,17637,23248,3923,9619,7020,2362,6821,9361,2561,9359,8175,4954,3118,12225,4784,9751,4584,16415,2701,3302,2763,1436,830,2454,2102,792,616
2,13676,4145,683,2931,1009,1093,1577,2688,12882,3062,6082,1749,2635,3735,20776,551,5880,4136,2911,2474,11825,2927,677,941,3177,4472,661,1789,1457,393,1260,2104,412,1694,1553,976,518,2360,875,2109,885,3090,511,626,524,248,171,475,414,141,113
3,66625,24382,3066,15952,5992,5549,9212,16679,65813,15092,35117,8939,14133,23438,103908,2650,29736,23296,16176,13813,58571,16171,3799,5035,20224,25506,3635,9953,8540,2209,7385,10335,2254,9469,8093,6626,3025,11696,4879,11442,4587,18747,2698,3473,2516,1458,1104,2182,1772,875,730
4,67305,24191,3526,16319,5757,5993,9192,15110,63671,15588,35118,8716,13443,21000,114385,2827,29873,23293,16107,13898,58233,15830,3499,5223,19685,25109,4100,10301,8233,2402,6960,10713,2121,9192,8716,6874,3185,11671,4829,11096,4651,18374,2836,3358,2616,1295,923,2033,1724,749,763
5,17583,5814,776,3735,1431,1605,2139,3399,14868,4537,8285,2105,3189,5228,30743,736,7579,5717,3759,3472,13888,3801,924,1326,4554,5901,994,2330,2022,528,1548,2769,490,2435,2300,1449,738,3284,1215,2687,1122,4384,631,809,556,351,251,498,458,160,200
6,16767,6817,779,4302,1691,1694,2191,4292,16539,4209,9797,2301,3762,4955,33109,769,8226,6143,4146,4432,13691,4148,1072,1274,4639,6892,1008,2377,2206,618,1758,2785,527,2736,2548,1699,924,3123,1240,4080,1288,5137,671,890,607,354,239,501,486,172,172
7,16933,6316,755,4267,1708,1797,2028,3865,16086,4195,9956,2237,3909,4888,34157,930,8165,6090,4136,3958,14298,4260,1098,1358,4547,6382,1120,2481,2221,565,1809,2852,559,2809,2415,1512,890,2787,1276,3449,1241,5074,654,900,666,352,216,575,555,170,201
8,16248,5920,845,4355,1627,1696,2006,3746,15433,4010,8356,2674,3828,4916,33094,789,7737,5920,4109,3744,14131,4107,992,1196,4357,6125,1023,2545,1971,494,1761,2725,545,2512,2302,1370,892,2987,1356,3207,1223,4627,668,849,665,406,208,520,538,185,154
9,16306,6224,957,4081,1670,1455,2099,3715,15665,4040,7798,2717,3526,4931,31198,748,7705,6317,4442,3660,13789,4258,996,1327,4296,6384,1067,2428,1989,583,1818,2759,588,2542,2139,1278,863,3047,1385,2919,1261,4672,587,891,672,339,175,464,470,215,154
10,14893,6564,775,3664,1470,1521,1927,3202,14325,3963,6559,2229,2979,4856,28684,592,7230,5668,3770,3336,12022,3608,897,1182,4133,5761,900,2101,1945,532,1583,2824,462,2222,1878,1237,740,3068,1128,3011,1110,4789,627,700,550,290,246,487,444,144,150
